flight_number,latitude,longitude,heading,altitude,departure,arrival,timestamp
Emirates_EK7626,19.0886,72.8676,67.2093252099816,0,BOM,GAU,2024-01-01 00:00:00
Emirates_EK7626,19.10459977324263,72.91038594104307,69.02731127917102,779,BOM,GAU,2024-01-01 00:00:20
Emirates_EK7626,19.12059954648526,72.95317188208617,70.11165368521131,1649,BOM,GAU,2024-01-01 00:00:40
Emirates_EK7626,19.13659931972789,72.99595782312925,73.90703390771688,2486,BOM,GAU,2024-01-01 00:01:00
Emirates_EK7626,19.152599092970522,73.03874376417234,73.96034558993745,3145,BOM,GAU,2024-01-01 00:01:20
Emirates_EK7626,19.168598866213152,73.08152970521542,77.81764547385497,3785,BOM,GAU,2024-01-01 00:01:40
Emirates_EK7626,19.184598639455782,73.1243156462585,77.86158177604062,4626,BOM,GAU,2024-01-01 00:02:00
Emirates_EK7626,19.20059841269841,73.16710158730159,74.03776715050145,5778,BOM,GAU,2024-01-01 00:02:20
Emirates_EK7626,19.21659818594104,73.20988752834467,78.6243087978382,6647,BOM,GAU,2024-01-01 00:02:40
Emirates_EK7626,19.23259795918367,73.25267346938774,76.25434042046308,7249,BOM,GAU,2024-01-01 00:03:00
Emirates_EK7626,19.248597732426305,73.29545941043084,78.54472607121784,7733,BOM,GAU,2024-01-01 00:03:20
Emirates_EK7626,19.264597505668934,73.33824535147392,77.8681740185004,8695,BOM,GAU,2024-01-01 00:03:40
Emirates_EK7626,19.280597278911564,73.38103129251701,73.14164735264443,10017,BOM,GAU,2024-01-01 00:04:00
Emirates_EK7626,19.296597052154194,73.42381723356009,71.58669135731827,10716,BOM,GAU,2024-01-01 00:04:20
Emirates_EK7626,19.312596825396824,73.46660317460316,70.27612595465519,10758,BOM,GAU,2024-01-01 00:04:40
Emirates_EK7626,19.328596598639454,73.50938911564626,67.35629712452396,11785,BOM,GAU,2024-01-01 00:05:00
Emirates_EK7626,19.344596371882087,73.55217505668934,69.49061012110093,13238,BOM,GAU,2024-01-01 00:05:20
Emirates_EK7626,19.360596145124717,73.59496099773243,70.64583117163117,13020,BOM,GAU,2024-01-01 00:05:40
Emirates_EK7626,19.376595918367347,73.6377469387755,72.80464162439,14374,BOM,GAU,2024-01-01 00:06:00
Emirates_EK7626,19.392595691609976,73.68053287981859,76.31847366784004,15432,BOM,GAU,2024-01-01 00:06:20
Emirates_EK7626,19.408595464852606,73.72331882086168,80.42059743424142,15415,BOM,GAU,2024-01-01 00:06:40
Emirates_EK7626,19.424595238095236,73.76610476190476,75.99787073689397,16497,BOM,GAU,2024-01-01 00:07:00
Emirates_EK7626,19.44059501133787,73.80889070294783,75.69570381034316,17783,BOM,GAU,2024-01-01 00:07:20
Emirates_EK7626,19.4565947845805,73.85167664399093,74.25224970759879,18084,BOM,GAU,2024-01-01 00:07:40
Emirates_EK7626,19.47259455782313,73.894462585034,69.99404659596637,19631,BOM,GAU,2024-01-01 00:08:00
Emirates_EK7626,19.48859433106576,73.9372485260771,72.17948285590019,20536,BOM,GAU,2024-01-01 00:08:20
Emirates_EK7626,19.50459410430839,73.98003446712018,77.0388736557038,20823,BOM,GAU,2024-01-01 00:08:40
Emirates_EK7626,19.52059387755102,74.02282040816326,73.95997420570042,22303,BOM,GAU,2024-01-01 00:09:00
Emirates_EK7626,19.53659365079365,74.06560634920635,72.21709724019347,23144,BOM,GAU,2024-01-01 00:09:20
Emirates_EK7626,19.55259342403628,74.10839229024943,76.59771030801154,23289,BOM,GAU,2024-01-01 00:09:40
Emirates_EK7626,19.56859319727891,74.15117823129252,81.0580072718058,24528,BOM,GAU,2024-01-01 00:10:00
Emirates_EK7626,19.58459297052154,74.1939641723356,83.62865509388179,24000,BOM,GAU,2024-01-01 00:10:20
Emirates_EK7626,19.60059274376417,74.23675011337868,80.16519286942656,26695,BOM,GAU,2024-01-01 00:10:40
Emirates_EK7626,19.6165925170068,74.27953605442177,84.75243771297711,26631,BOM,GAU,2024-01-01 00:11:00
Emirates_EK7626,19.632592290249434,74.32232199546485,82.60988931169699,26216,BOM,GAU,2024-01-01 00:11:20
Emirates_EK7626,19.648592063492064,74.36510793650793,77.64551229825277,28137,BOM,GAU,2024-01-01 00:11:40
Emirates_EK7626,19.664591836734694,74.40789387755102,77.61517735381108,27542,BOM,GAU,2024-01-01 00:12:00
Emirates_EK7626,19.680591609977323,74.4506798185941,78.20326198276476,29396,BOM,GAU,2024-01-01 00:12:20
Emirates_EK7626,19.696591383219953,74.49346575963719,80.01259282666659,29228,BOM,GAU,2024-01-01 00:12:40
Emirates_EK7626,19.712591156462583,74.53625170068027,76.93856137463283,31190,BOM,GAU,2024-01-01 00:13:00
Emirates_EK7626,19.728590929705216,74.57903764172335,81.38219935442712,32941,BOM,GAU,2024-01-01 00:13:20
Emirates_EK7626,19.744590702947846,74.62182358276644,76.66985422704987,32514,BOM,GAU,2024-01-01 00:13:40
Emirates_EK7626,19.760590476190476,74.66460952380952,80.25309722455859,32786,BOM,GAU,2024-01-01 00:14:00
Emirates_EK7626,19.776590249433106,74.70739546485261,79.5810576436603,34281,BOM,GAU,2024-01-01 00:14:20
Emirates_EK7626,19.792590022675736,74.75018140589569,79.00338798811009,35000,BOM,GAU,2024-01-01 00:14:40
Emirates_EK7626,19.808589795918365,74.79296734693877,80.63349872014422,34975,BOM,GAU,2024-01-01 00:15:00
Emirates_EK7626,19.824589569161,74.83575328798186,82.8947421075726,35000,BOM,GAU,2024-01-01 00:15:20
Emirates_EK7626,19.84058934240363,74.87853922902494,81.17742905007223,34903,BOM,GAU,2024-01-01 00:15:40
Emirates_EK7626,19.85658911564626,74.92132517006803,86.04140267825301,35022,BOM,GAU,2024-01-01 00:16:00
Emirates_EK7626,19.872588888888888,74.96411111111111,86.60603094871823,35046,BOM,GAU,2024-01-01 00:16:20
Emirates_EK7626,19.888588662131518,75.00689705215419,87.48050246204508,34982,BOM,GAU,2024-01-01 00:16:40
Emirates_EK7626,19.904588435374148,75.04968299319728,89.07766660683811,35031,BOM,GAU,2024-01-01 00:17:00
Emirates_EK7626,19.92058820861678,75.09246893424036,86.71953667065883,35077,BOM,GAU,2024-01-01 00:17:20
Emirates_EK7626,19.93658798185941,75.13525487528344,86.09547333832641,35087,BOM,GAU,2024-01-01 00:17:40
Emirates_EK7626,19.95258775510204,75.17804081632653,81.99493316058002,34995,BOM,GAU,2024-01-01 00:18:00
Emirates_EK7626,19.96858752834467,75.22082675736961,77.08670830032246,35005,BOM,GAU,2024-01-01 00:18:20
Emirates_EK7626,19.9845873015873,75.2636126984127,79.30458618393055,35500,BOM,GAU,2024-01-01 00:18:40
Emirates_EK7626,20.00058707482993,75.30639863945578,78.1949891228563,34937,BOM,GAU,2024-01-01 00:19:00
Emirates_EK7626,20.016586848072563,75.34918458049886,73.47116141899525,34997,BOM,GAU,2024-01-01 00:19:20
Emirates_EK7626,20.032586621315193,75.39197052154195,75.19616846281102,34944,BOM,GAU,2024-01-01 00:19:40
Emirates_EK7626,20.048586394557823,75.43475646258503,75.47060900250452,34901,BOM,GAU,2024-01-01 00:20:00
Emirates_EK7626,20.064586167800453,75.47754240362812,80.17377522132841,34967,BOM,GAU,2024-01-01 00:20:20
Emirates_EK7626,20.080585941043083,75.5203283446712,75.32955685420823,34970,BOM,GAU,2024-01-01 00:20:40
Emirates_EK7626,20.096585714285712,75.56311428571428,75.25011891735035,35012,BOM,GAU,2024-01-01 00:21:00
Emirates_EK7626,20.112585487528346,75.60590022675737,74.62980772219275,34938,BOM,GAU,2024-01-01 00:21:20
Emirates_EK7626,20.128585260770976,75.64868616780045,73.16931023440769,35002,BOM,GAU,2024-01-01 00:21:40
Emirates_EK7626,20.144585034013605,75.69147210884353,72.39423411812778,35073,BOM,GAU,2024-01-01 00:22:00
Emirates_EK7626,20.160584807256235,75.73425804988662,71.23490842210936,35002,BOM,GAU,2024-01-01 00:22:20
Emirates_EK7626,20.176584580498865,75.7770439909297,74.84363760071595,35045,BOM,GAU,2024-01-01 00:22:40
Emirates_EK7626,20.192584353741495,75.81982993197279,76.96089536369452,35085,BOM,GAU,2024-01-01 00:23:00
Emirates_EK7626,20.208584126984128,75.86261587301587,80.1663323804838,35006,BOM,GAU,2024-01-01 00:23:20
Emirates_EK7626,20.224583900226758,75.90540181405895,82.3987311632106,35065,BOM,GAU,2024-01-01 00:23:40
Emirates_EK7626,20.240583673469388,75.94818775510204,77.47194213879864,34907,BOM,GAU,2024-01-01 00:24:00
Emirates_EK7626,20.256583446712018,75.99097369614512,79.84241427221875,34992,BOM,GAU,2024-01-01 00:24:20
Emirates_EK7626,20.272583219954647,76.03375963718821,79.8404533515008,35070,BOM,GAU,2024-01-01 00:24:40
Emirates_EK7626,20.288582993197277,76.07654557823129,82.11280594247039,34930,BOM,GAU,2024-01-01 00:25:00
Emirates_EK7626,20.30458276643991,76.11933151927437,77.21108099002082,34956,BOM,GAU,2024-01-01 00:25:20
